[46,74,96,52,33,61,93,68,49,61,16,22,71,17,57,23,47,44,2,58,49,42,32,7,59,100,
 35,20,22,5,90,85,84,34,27,82,3,4,6,7,100,58,62,40,68,89,91,81,60,31,73,42,81,
 9,41,61,69,66,9,28,62,2,95,83,66,43,48,3,63,95,26,98,95,88,28,33,77,60,22,11,
 15,18,25,94,79,35,29,47,4,60,97,94,33,100,35,61,43,3,13,59,35,4,87,61,67,63,
 73,85,77,96,96,21,7,81,55,33,56,41,63,63,81,57,8,39,37,88,33,90,35,59,24,79,
 93,81,15,34,53,29,89,22,93,13,69,85,65,84,11,88,76,19,9,54,11,16,91,35,65,68,
 60,56,9,20,60,6,70,9,58,39,46,6,50,83,24,89,41,92,26,33,76,8,40,101,7,44,92,
 42,80,6,23,59,96,49,11,11,33,77,79,62,35,84,37,26,59,37,89,66,97,86,55,9,48,
 4,14,43,97,17,46,64,8,47,98,51,12,80,35,19,46,79,24,54,93,74,86,97,98,5,79,
 80,15,29,70,70,50,31,52,15,93,4,58,45,57,55,49,40,60,81,57,55,47,97,90,89,50,
 59,15,23,14,83,21,24,18,71,63,4,7,72,92,21,25,86,2,6,84,73,57,5,69,72,26,64,
 4,92,91,11,97,85,77,78,66,33,5,85,43,65,29,10,93,75,64,84,43,50,50,48,47,22,
 24,43,98,59,23,47,43,14,35,10,19,96,81,86,96,6,42,30,79,90,8,89,23,86,15,51,
 30,43,30,99,8,28,49,19,63,75,77,90,86,72,83,28,22,30,33,4,23,66,2,37,7,60,62,
 13,50,98,6,20,72,53,17,60,97,97,31,49,36,68,26,56,44,29,18,42,76,32,22,98,60,
 62,74,96,6,5,22,6,27,74,13,3,45,11,59,93,94,4,90,75,25,13,76,50,32,5,5,63,19,
 57,41,35,15,40,69,18,19,55,85,86,51,38,22,86,45,8,101,14,10,20,10,97,15,25,
 43,44,37,65,53,44,58,31,19,49,27,29,95,68,82,97,29,85,44,93,80,9,82,54,71,15,
 61,96,32,97,28,97,57,74,92,40,101,73,72,31,25,61,17,12,2,33,74,88,51,40,22,
 71,58,29,44,66,18,94,84,62,21,73,13,16,31,11,34,99,99,6,5,73,20,46,58,15,90,
 74,33,69,75,58,55,22,29,13,42,40,89,46,38,77,6,35,82,40,64,3,39,16,46,38,5,
 86,95,12,87,71,9,92,71,47,101,43,44,101,28,10,40,34,34,30,40,93,47,36,4,40,
 44,88,48,17,38,18,77,5,46,10,86,36,88,13,36,87,86,4,45,12,64,49,22,53,75,65,
 24,53,59,49,71,14,15,27,80,43,2,35,38,14,12,88,38,29,35,3,63,55,3,50,54,28,
 99,66,6,19,27,5,43,44,76,55,94,29,55,28,16,100,16,35,62,58,41,2,4,80,43,49,
 46,50,65,17,75,18,54,7,82,81,20,75,38,61,94,20,6,38,18,6,48,8,34,26,99,98,87,
 73,65,40,50,26,39,77,70,12,25,28,6,49,94,66,48,5,9,68,44,74,79,89,66,43,68,
 67,22,76,19,28,19,30,6,35,74,68,34,61,42,71,11,35,16,65,75,72,17,37,36,10,93,
 59,27,86,76,67,16,6,90,92,65,56,99,99,59,70,94,80,48,40,46,70,34,47,70,32,7,
 17,64,11,59,41,98,80,90,35,62,30,89,26,35,44,60,36,99,75,56,96,80,50,77,93,
 11,32,43,75,37,47,7,100,43,76,85,19,46,27,20,94,67,36,68,100,23,8,58,36,16,
 46,85,89,66,91,68,62,70,24,53,67,50,8,51,93,78,100,29,26,94,27,15,94,78,101,
 100,31,45,13,64,65,12,52,9,80,3,94,92,92,52,57,6,79,46,8,33,30,82,97,59,55,7,
 78,20,39,72,83,35,53,101,23,56,27,83,10,63,55,42,33,98,67,64,10,27,22,24,28,
 55,31,32,59,57,79,53,58,32,101,9,19,12,57,84,56,77,88,14,78,86,80,14,84,83,
 50,32,56,40,94,36,85,52,44,48,2,48,5,101,3,77,96,83,49,92,74,9,10,62,20,57,
 27,97,47,9,53,4,99,53,89,41,13,49,67,50,36,71,68,100,55,73,27,26,51,88,28,64,
 94,20,24,77,5,27,23,85,21,15,3,47,18,82,3,46,29,36,97,41,91,59,73,41,42,38,2,
 35,80,95,90,47,4,46,37,57,53,55,32,86,85,90,58,51,52,27,90,70,34,30,3,50,95,
 91,59,90,68,76,46,60,14,19,66,58,67,31,64,92,23,41,9,43,85,96,89,41,21,28,18,
 101,97,62,25,18,67,78,86,44,94,61,9,78,14,73,36,39,27,71,28,16,40,6,18,98,62,
 61,90,9,31,26,58,4,28,48,57,91,8,94,55,7,97,30,23,66,74,8,92,78,39,63,60,37,
 16,64,13,92,74,73,10,39,12,46,67,35,74,94,95,69,18,71,88,52,73,53,52,35,24,
 95,32,83,43,72,56,45,28,84,87,19,62,23,8,61,42,76,31,85,99,44,49,89,6,80,34,
 5,80,95,89,42,42,39,21,24,9,13,91,86,95,10,21,73,91,54,15,29,88,97,29,32,44,
 6,60,26,96,22,68,56,86,89,91,81,93,33,38,32,60,55,53,89,10,20,83,53,65,60,16,
 57,62,90,85,48,82,77,25,45,32,47,30,14,97,29,16,48,101,42,91,9,73,86,57,9,9,
 100,47,67,75,54,77,89,27,88,20,2,92,96,7,49,84,92,44,3,81,82,78,64,53,70,35,
 65,23,94,50,18,38,84,78,10,20,78,37,16,15,6,35,46,100,22,17,89,10,52,80,89,
 16,72,52,20,71,13,7,100,35,10,50,94,82,95,51,94,41,74,67,88,51,30,96,64,32,
 44,85,34,71,93,8,74,49,43,21,38,101,98,79,10,76,67,65,66,54,16,24,87,45,53,
 62,98,10,91,47,95,14,85,12,11,29,58,51,6,81,12,25,53,15,74,46,71,8,88,44,9,
 22,15,93,46,45,70,64,47,51,9,82,66,30,17,12,46,20,72,100,5,68,84,93,6,10,44,
 6,64,47,9,82,90,75,65,70,33,35,19,6,68,23,2,41,26,13,3,46,23,79,72,48,10,72,
 89,44,29,97,21,30,75,74,76,61,50,88,52,55,75,44,63,55,72,38,29,46,17,47,62,
 58,72,84,16,33,73,77,97,49,60,22,31,70,38,71,44,19,85,17,62,37,44,7,25,90,80,
 87,46,34,7,79,85,83,69,9,63,52,9,44,94,98,41,44,63,96,76,4,91,84,72,86,19,4,
 26,19,18,29,32,44,67,58,37,11,29,85,9,16,7,98,23,4,77,93,85,66,8,47,51,29,63,
 90,22,75,61,9,12,10,9,39,69,44,9,64,72,11,10,59,79,81,86,31,69,59,7,23,9,50,
 54,74,71,27,20,15,50,10,93,9,47,8,6,101,16,49,61,79,81,29,65,20,64,51,31,83,
 56,47,23,28,19,53,78,62,65,51,59,59,37,97,46,73,29,70,65,31,44,70,40,15,8,74,
 59,80,70,19,39,79,33,46,65,55,11,41,61,71,85,14,94,37,58,16,62,62,57,84,47,
 86,7,48,17,88,49,74,38,82,73,41,28,82,18,62,29,38,93,90,23,22,55,47,10,37,
 101,93,66,90,68,25,94,13,2,16,72,27,74,26,97,56,24,37,6,22,30,13,77,69,85,40,
 49,93,42,72,71,32,34,65,43,79,95,47,20,89,97,49,28,53,4,76,2,6,31,74,69,6,80,
 40,91,15,36,41,5,41,56,58,87,51,54,47,24,75,15,24,86,21,88,47,14,36,26,7,72,
 75,9,98,64,25,31,99,81,14,66,58,71,46,50,66,78,66,91,73,83,53,59,84,19,83,10,
 29,47,48,76,18,24,82,10,91,14,42,71,59,49,70,90,13,93,73,87,58,5,30,57,9,63,
 21,45,30,34,21,18,29,5,7,65,26,63,63,99,66,86,22,22,100,33,100,94,21,4,73,27,
 80,80,30,55,91,15,74,38,63,93,64,73,6,11,35,29,78,3,20,40,2,93,6,42,64,85,67,
 17,44,80,50,11,46,2,55,14,85,2,21,23,14,96,59,67,29,59,45,63,29,71,8,54,16,
 76,72,67,55,53,61,23,7,53,42,88,69,77,29,80,100,65,21,100,4,59,96,54,63,27,2,
 83,4,43,84,57,82,87,101,15,55,34,26,81,41,33,46,40,75,61,4,4,71,28,34,78,7,
 56,26,32,62,61,59,101,66,33,43,55,24,94,53,71,60,55,90,81,44,16,43,93,19,43,
 11,100,73,52,32,22,97,28,61,28,84,98,92,15,55,87,73,28,53,66,10,28,40,60,17,
 43,33,84,85,6,9,83,40,49,21,20,76,52,74,10,85,83,90,47,20,10,3,33,21,22,93,
 94,52,21,36,4,82,5,98,78,79,13,82,63,20,45,87,54,88,22,23,31,30,7,42,10,4,44,
 80,78,95,80,86,2,31,63,44,28,21,90,93,100,89,53,36,49,81,9,12,68,88,16,72,3,
 35,81,29,56,50,50,76,24,88,19,98,49,67,29,66,48,26,70,56,101,91,64,69,6,38,
 11,10,81,65,57,36,15,99,3,44,6,12,67,17,2,75,27,65,80,15,69,100,64,91,44,33,
 28,19,49,49,25,68,15,63,68,71,22,26,50,49,76,51,8,87,4,47,63,4,59,56,28,61,
 46,77,88,8,60,8,5,84,58,49,20,42,7,71,32,57,70,53,25,27,57,20,15,37,44,40,98,
 53,62,85,10,59,48,50,48,58,42,65,89,66,80,80,68,88,61,86,98,71,49,4,21,89,64,
 2,13,4,57,59,29,45,6,81,26,87,32,81,18,98,31,13,53,29,50,41,26,24,36,3,63,45,
 33,58,86,22,60,60,72,8,65,72,86,86,73,86,49,81,96,84,28,73,21,44,2,99,16,31,
 52,69,63,64,99,10,101,8,89,18,6,66,62,86,71,11,75,26,28,94,38,33,97,28,91,47,
 8,59,9,69,35,56,9,81,64,19,100,3,59,58,23,93,72,53,33,12,24,59,80,28,49,3,85,
 101,73,4,24,78,13,45,50,67,36,15,61,50,51,90,43,13,13,91,45,58,33,33,100,55,
 49,9,77,23,51,70,38,100,88,4,38,29,25,76,9,40,66,38,94,24,57,24,58,26,80,46,
 19,92,57,11,18,10,90,84,61,5,92,83,32,97,13,81,7,31,47,73,85,9,13,39,20,75,
 16,93,2,67,54,96,15,6,12,27,46,17,12,68,79,78,33,17,29,64,80,66,76,89,9,17,
 39,38,8,93,38,45,96,22,19,97,44,43,22,13,22,37,63,80,75,74,28,2,25,3,9,72,75,
 88,79,78,87,8,77,20,98,19,56,99,88,29,74,53,20,30,24,24,6,95,79,22,47,67,93,
 24,85,9,11,82,85,52,59,33,45,57,79,54,80,87,95,84,66,17,74,98,59,50,89,63,37,
 45,15,12,100,10,86,50,73,68,42,75,42,4,70,22,58,20,72,83,29,58,28,57,87,23,
 96,94,94,4,12,74,8,75,17,55,55,100,20,72,86,66,16,34,71,14,30,39,62,99,66,31,
 17,62,51,5,9,74,4,80,67,101,82,95,80,39,90,24,65,77,8,39,27,43,73,99,62,63,
 19,100,96,82,81,93,60,12,8,22,88,5,3,98,40,20,5,39,70,91,75,76,76,11,84,79,
 68,43,98,61,63,2,61,4,70,75,86,98,70,16,45,66,65,25,83,41,68,86,63,8,19,81,
 100,35,23,68,62,29,88,17,69,41,74,3,84,8,4,63,91,71,10,76,2,20,60,70,32,22,
 20,21,2,69,27,17,27,96,3,40,16,69,99,33,99,62,73,92,4,36,80,31,50,58,88,13,
 77,37,65,7,98,32,36,89,4,90,85,54,71,20,11,26,2,74,82,94,30,19,59,46,76,67,
 65,50,5,43,82,74,96,89,45,16,60,97,98,31,94,89,81,98,75,53,77,6,94,26,25,10,
 13,55,23,9,28,84,6,64,100,41,75,7,33,10,6,37,56,97,36,84,47,71,79,48,68,54,
 93,25,19,62,29,3,85,50,86,6,94,39,34,73,88,95,48,36,99,33,71,28,48,78,40,95,
 64,35,18,60,85,15,60,71,94,5,43,84,40,89,71,57,101,46,16,26,23,44,22,86,62,
 87,38,7,62,55,71,99,24,70,16,27,73,42,64,19,94,46,10,87,50,66,79,35,77,60,22,
 42,35,92,49,54,16,3,47,43,42,22,50,74,50,83,100,98,52,13,48,34,37,22,3,57,49,
 47,83,41,6,5,52,14,27,22,77,48,93,12,53,55,66,3,94,90,2,76,6,28,62,49,7,45,
 26,63,98,89,33,46,92,9,48,82,22,41,95,14,6,85,27,54,95,23,17,20,53,96,51,33,
 101,61,62,37,10,97,4,4,3,96,85,47,74,18,77,10,62,56,10,71,80,15,92,28,44,10,
 43,58,22,97,59,38,5,12,75,14,76,74,43,71,50,33,51,36,32,74,63,52,69,64,41,43,
 8,52,39,22,89,13,5,38,99,31,57,22,97,98,83,49,70,53,11,13,37,41,54,61,98,41,
 45,97,58,8,28,26,36,84,54,61,58,79,18,71,9,61,98,81,47,66,82,82,97,72,23,91,
 94,22,55,9,52,81,67,73,24,11,35,45,33,63,67,53,7,14,34,62,19,96,57,90,99,91,
 29,72,6,93,80,19,25,37,99,35,22,67,88,84,98,88,55,9,91,80,63,25,34,33,55,86,
 35,46,43,55,15,73,101,89,53,50,9,73,70,17,91,69,45,71,41,2,12,8,30,24,54,89,
 6,73,58,73,92,89,76,17,48,4,13,51,85,30,98,45,87,60,62,15,6,74,17,86,36,28,
 100,32,94,86,68,20,98,56,83,80,52,56,4,71,67,41,96,3,60,39,85,48,64,69,37,15,
 28,16,64,71,74,67,34,101,16,45,58,50,90,88,99,69,29,45,13,3,3,47,28,47,3,45,
 44,81,5,50,96,13,98,17,10,29,36,70,79,41,71,95,78,93,99,51,64,32,45,60,62,9,
 100,6,99,8,17,26,22,89,30,84,15,64,13,97,91,64,28,44,25,52,99,17,46,24,87,80,
 47,29,44,7,81,48,65,19,101,40,84,69,38,61,98,49,25,32,9,22,66,36,33,70,45,97,
 73,73,67,26,89,21,12,101,101,42,11,76,101,67,60,57,87,83,99,9,18,95,65,18,10,
 82,101,23,30,95,88,77,81,55,46,100,3,28,74,18,23,11,95,78,35,18,44,24,79,10,
 61,100,93,17,37,79,75,11,19,48,4,72,11,62,26,32,13,93,12,39,91,93,41,97,36,
 24,68,13,32,74,101,7,26,77,83,44,95,37,22,36,8,67,73,79,6,3,49,65,58,3,56,46,
 9,35,47,19,11,83,38,13,27,62,86,53,59,90,77,44,59,42,69,83,95,20,7,45,44,36,
 13,31,21,57,25,54,42,58,27,64,45,38,55,92,97,99,10,42,61,87,7,36,85,61,18,68,
 61,79,90,86,36,63,22,89,69,15,55,96,94,47,19,63,94,52,5,98,29,54,89,10,3,58,
 46,47,58,9,86,13,10,4,24,59,69,29,50,64,22,59,89,78,5,60,97,65,14,86,35,36,
 65,41,96,24,94,100,28,52,54,72,88,9,76,95,50,24,8,95,19,14,53,87,33,50,27,58,
 30,30,56,45,92,76,38,100,21,11,55,18,36,66,95,91,75,44,61,43,30,88,6,58,29,
 10,98,80,71,2,79,64,56,40,48,53,74,7,92,51,58,52,33,87,64,55,84,61,71,62,90,
 15,8,8,42,34,78,98,36,9,96,55,78,63,97,26,11,101,48,21,12,37,24,37,66,47,44,
 49,58,10,10,22,37,42,52,13,89,66,48,92,80,20,50,79,60,55,94,100,64,60,24,62,
 95,69,100,17,11,58,22,35,26,5,9,60,62,95,13,66,73,69,63,88,9,90,92,49,9,53,
 30,35,82,51,90,93,11,37,2,95,73,99,3,54,93,6,16,95,75,28,55,47,81,58,101,7,5,
